timestamp,open,high,low,close,volume
2024-04-03 12:00:00,0.05,1.86,0.05,1.304,180496366.5
2024-04-03 16:00:00,1.305,1.619,1.302,1.393,151377201.3
2024-04-03 20:00:00,1.394,1.437,1.264,1.31,50859256.8
2024-04-04 00:00:00,1.309,1.397,1.151,1.189,42835715.5
2024-04-04 04:00:00,1.188,1.217,1.1,1.17,32333072.6
2024-04-04 08:00:00,1.169,1.215,1.11,1.161,26137736.9
2024-04-04 12:00:00,1.161,1.203,1.107,1.158,37056963.0
2024-04-04 16:00:00,1.157,1.275,1.125,1.144,43656797.6
2024-04-04 20:00:00,1.145,1.145,1.02,1.075,30545210.1
2024-04-05 00:00:00,1.075,1.087,0.955,0.998,33161854.1
2024-04-05 04:00:00,0.998,1.018,0.938,0.972,21988113.4
2024-04-05 08:00:00,0.972,0.996,0.925,0.934,23361115.9
2024-04-05 12:00:00,0.935,1.027,0.912,0.972,32304129.5
2024-04-05 16:00:00,0.973,0.983,0.921,0.929,17994713.6
2024-04-05 20:00:00,0.928,0.993,0.916,0.971,15464266.8
2024-04-06 00:00:00,0.97,0.997,0.938,0.95,11810756.8
2024-04-06 04:00:00,0.951,1.056,0.928,1.01,29841234.8
2024-04-06 08:00:00,1.009,1.053,0.992,1.035,27139402.5
2024-04-06 12:00:00,1.035,1.133,1.002,1.125,36184030.6
2024-04-06 16:00:00,1.125,1.171,1.055,1.061,30688887.8
2024-04-06 20:00:00,1.062,1.09,1.05,1.057,10379142.4
2024-04-07 00:00:00,1.057,1.075,1.032,1.043,11251774.0
2024-04-07 04:00:00,1.044,1.09,1.044,1.081,14980215.1
2024-04-07 08:00:00,1.081,1.081,1.043,1.069,9137656.3
2024-04-07 12:00:00,1.068,1.069,1.01,1.025,16106532.2
2024-04-07 16:00:00,1.025,1.043,0.984,0.994,16794660.0
2024-04-07 20:00:00,0.994,1.013,0.986,1.008,7885349.8
2024-04-08 00:00:00,1.008,1.012,0.971,0.979,9039002.5
2024-04-08 04:00:00,0.979,1.007,0.969,0.997,10118635.4
2024-04-08 08:00:00,0.997,1.033,0.995,1.005,19297466.2
2024-04-08 12:00:00,1.005,1.049,0.98,0.987,30686880.6
2024-04-08 16:00:00,0.987,1.017,0.986,1.003,15075030.7
2024-04-08 20:00:00,1.003,1.008,0.984,0.992,12261584.3
2024-04-09 00:00:00,0.991,1.003,0.941,0.958,20614431.8
2024-04-09 04:00:00,0.958,0.966,0.884,0.898,30694835.7
2024-04-09 08:00:00,0.899,0.911,0.872,0.894,28798272.7
2024-04-09 12:00:00,0.894,0.906,0.854,0.875,26414574.4
2024-04-09 16:00:00,0.876,0.876,0.85,0.867,13527292.2
2024-04-09 20:00:00,0.867,0.871,0.834,0.846,12738446.7
2024-04-10 00:00:00,0.846,0.867,0.804,0.838,18395968.3
