timestamp,open,high,low,close,volume
2023-12-07 16:00:00,0.15,4.94,0.15,2.3936,126427052.7
2023-12-08 00:00:00,2.3935,3.2736,2.3722,2.8753,83033168.4
2023-12-08 08:00:00,2.872,3.7146,2.6413,3.49,81265588.2
2023-12-08 16:00:00,3.49,3.77,3.123,3.5794,53862690.0
2023-12-09 00:00:00,3.5794,3.6688,3.2275,3.5594,26280020.9
2023-12-09 08:00:00,3.5588,4.3777,3.4734,4.2547,70837879.9
2023-12-09 16:00:00,4.255,4.45,3.2357,3.3499,45731632.5
2023-12-10 00:00:00,3.3499,3.74,3.3251,3.435,24967332.3
2023-12-10 08:00:00,3.4374,3.489,3.17,3.3878,26686572.7
2023-12-10 16:00:00,3.3899,3.57,3.2655,3.455,15799590.0
2023-12-11 00:00:00,3.4553,3.47,2.5412,2.998,32055444.7
2023-12-11 08:00:00,2.9989,3.1422,2.8629,2.9396,19451237.0
2023-12-11 16:00:00,2.9381,3.059,2.7633,3.0028,16116332.9
2023-12-12 00:00:00,3.0032,3.3555,2.95,3.1978,20957075.6
2023-12-12 08:00:00,3.1993,3.28,2.8123,2.8558,23282799.5
2023-12-12 16:00:00,2.854,2.962,2.792,2.9607,10174406.3
2023-12-13 00:00:00,2.9606,2.985,2.6,2.6786,12976096.5
2023-12-13 08:00:00,2.6788,2.741,2.621,2.7171,9633230.2
2023-12-13 16:00:00,2.7168,2.9392,2.6255,2.836,16677768.5
2023-12-14 00:00:00,2.8349,3.1807,2.7726,3.1231,21791836.5
2023-12-14 08:00:00,3.1232,3.1361,2.715,2.9,16563506.3
2023-12-14 16:00:00,2.9,3.46,2.9,3.4552,22913323.3
2023-12-15 00:00:00,3.4576,3.6277,3.1535,3.264,30644801.1
2023-12-15 08:00:00,3.264,3.4812,2.95,3.0815,24118549.6
2023-12-15 16:00:00,3.0812,3.2449,2.8,2.8381,18074978.1
2023-12-16 00:00:00,2.8386,2.99,2.7964,2.9053,9652982.6
2023-12-16 08:00:00,2.9055,3.029,2.9019,2.981,9375344.2
2023-12-16 16:00:00,2.981,3.2,2.8765,2.9249,15621679.6
2023-12-17 00:00:00,2.9241,2.9665,2.749,2.757,8952516.9
2023-12-17 08:00:00,2.757,2.8365,2.69,2.8068,9887686.5
2023-12-17 16:00:00,2.8075,2.8708,2.689,2.7041,6933536.6
2023-12-18 00:00:00,2.7049,2.7426,2.452,2.4616,11576621.0
2023-12-18 08:00:00,2.4622,2.4858,2.2232,2.3738,19201964.2
2023-12-18 16:00:00,2.3744,2.516,2.3333,2.5054,9305101.0
2023-12-19 00:00:00,2.5062,2.6551,2.4635,2.5389,11067708.0
2023-12-19 08:00:00,2.5397,2.5928,2.35,2.4291,14128395.7
2023-12-19 16:00:00,2.4282,2.4412,2.3331,2.3739,5279249.2
2023-12-20 00:00:00,2.3742,2.5264,2.3294,2.47,8262241.5
2023-12-20 08:00:00,2.4703,2.7403,2.4346,2.7099,21341103.2
2023-12-20 16:00:00,2.7098,2.8262,2.5998,2.657,13414264.3
2023-12-21 00:00:00,2.6557,2.8912,2.551,2.8428,16348295.9
2023-12-21 08:00:00,2.8425,2.8951,2.6215,2.6863,13781851.2
2023-12-21 16:00:00,2.686,2.8533,2.6311,2.8213,8214648.9
2023-12-22 00:00:00,2.8221,2.942,2.592,2.6302,13734841.3
2023-12-22 08:00:00,2.6294,2.681,2.45,2.6298,15757654.5
2023-12-22 16:00:00,2.6312,2.6316,2.56,2.6008,4559248.1
2023-12-23 00:00:00,2.6008,2.6384,2.4851,2.5501,4743489.3
2023-12-23 08:00:00,2.5504,2.5823,2.5126,2.5532,4800397.6
2023-12-23 16:00:00,2.553,2.6612,2.5204,2.6296,7771637.4
2023-12-24 00:00:00,2.6297,2.723,2.55,2.5931,9942628.2
2023-12-24 08:00:00,2.5933,2.6493,2.52,2.5361,7850447.2
2023-12-24 16:00:00,2.5358,2.5611,2.3521,2.4482,6791430.1
