timestamp,open,high,low,close,volume
2023-05-01,1.97e-06,4.39e-06,1.97e-06,2.79e-06,219370664262577.0
2023-05-08,2.79e-06,2.81e-06,1.05e-06,1.78e-06,801793935130047.0
2023-05-15,1.79e-06,1.93e-06,1.46e-06,1.59e-06,343897957629828.0
2023-05-22,1.59e-06,1.67e-06,1.31e-06,1.49e-06,202984441924045.0
2023-05-29,1.5e-06,1.52e-06,1.19e-06,1.23e-06,150915828984556.0
2023-06-05,1.23e-06,1.26e-06,8.7e-07,9.2e-07,295583742353588.0
2023-06-12,9.1e-07,1.05e-06,8.2e-07,9.4e-07,198282050805014.0
2023-06-19,9.3e-07,1.79e-06,9.1e-07,1.61e-06,567606894820907.0
2023-06-26,1.61e-06,1.71e-06,1.36e-06,1.58e-06,294993663919049.0
2023-07-03,1.58e-06,1.9e-06,1.5e-06,1.54e-06,233879410626185.0
2023-07-10,1.54e-06,1.88e-06,1.43e-06,1.57e-06,200943174078484.0
2023-07-17,1.57e-06,1.61e-06,1.46e-06,1.51e-06,81638855953775.0
2023-07-24,1.51e-06,1.51e-06,1.22e-06,1.3e-06,113522454398626.0
2023-07-31,1.29e-06,1.33e-06,1.11e-06,1.15e-06,93150279807769.0
2023-08-07,1.16e-06,1.43e-06,1.05e-06,1.36e-06,156599323383875.0
2023-08-14,1.36e-06,1.47e-06,9.4e-07,1.12e-06,169677478819316.0
2023-08-21,1.12e-06,1.13e-06,7.8e-07,9e-07,209139375608679.0
2023-08-28,8.9e-07,9.1e-07,7.5e-07,8e-07,122207837993766.0
2023-09-04,8e-07,8.3e-07,6.9e-07,7e-07,74050887706227.0
2023-09-11,7.1e-07,7.1e-07,6e-07,6.2e-07,80621574124670.0
2023-09-18,6.3e-07,7.4e-07,6e-07,6.7e-07,115872562045011.0
2023-09-25,6.7e-07,8.3e-07,6.6e-07,8.2e-07,124031184841992.0
2023-10-02,8.1e-07,8.5e-07,6.8e-07,7.1e-07,78474054854887.0
2023-10-09,7.2e-07,7.2e-07,6.1e-07,6.6e-07,54911677596748.0
2023-10-16,6.6e-07,7.6e-07,6.1e-07,7.4e-07,96838744740424.0
2023-10-23,7.4e-07,1.36e-06,7.2e-07,1.14e-06,429866177265960.0
2023-10-30,1.14e-06,1.23e-06,1.02e-06,1.12e-06,163726019509190.0
2023-11-06,1.12e-06,1.46e-06,1.08e-06,1.23e-06,251194798130020.0
2023-11-13,1.23e-06,1.32e-06,1.09e-06,1.19e-06,178959881617778.0
2023-11-20,1.19e-06,1.25e-06,1.03e-06,1.11e-06,117311214201587.0
2023-11-27,1.11e-06,1.24e-06,1.03e-06,1.2e-06,91566698744845.0
2023-12-04,1.2e-06,1.75e-06,1.17e-06,1.6e-06,416665225499518.0
2023-12-11,1.61e-06,1.62e-06,1.3e-06,1.33e-06,196376693884026.0
2023-12-18,1.34e-06,1.6e-06,1.2e-06,1.38e-06,187311654716303.0
2023-12-25,1.37e-06,1.5e-06,1.25e-06,1.3e-06,135091132832965.0
2024-01-01,1.3e-06,1.44e-06,1.06e-06,1.12e-06,133543727739007.0
2024-01-08,1.12e-06,1.5e-06,1.03e-06,1.19e-06,204021708600696.0
2024-01-15,1.19e-06,1.27e-06,1.05e-06,1.13e-06,77836532204403.0
2024-01-22,1.12e-06,1.13e-06,9.7e-07,1.06e-06,78372082867988.0
2024-01-29,1.06e-06,1.09e-06,8.7e-07,8.8e-07,89959416847238.0
2024-02-05,8.9e-07,1.04e-06,8.6e-07,1e-06,78890467480908.0
2024-02-12,1e-06,1.31e-06,9.8e-07,1.23e-06,130878260036020.0
2024-02-19,1.22e-06,1.41e-06,1.09e-06,1.37e-06,182404393809973.0
2024-02-26,1.38e-06,6e-06,1.34e-06,5.93e-06,1176749593025514.0
2024-03-04,5.92e-06,9.91e-06,4.95e-06,8.54e-06,998669753292780.0
2024-03-11,8.54e-06,1.084e-05,6.88e-06,7.84e-06,658944474482150.0
2024-03-18,7.84e-06,8.6e-06,5.81e-06,7.82e-06,448080734833809.0
2024-03-25,7.81e-06,9.2e-06,7.38e-06,8.8e-06,318188302919503.0
2024-04-01,8.8e-06,8.8e-06,6.34e-06,7.44e-06,248657513295131.0
2024-04-08,7.45e-06,7.96e-06,3.93e-06,5.44e-06,414626974445787.0
2024-04-15,5.44e-06,6.23e-06,4.6e-06,5.95e-06,361387809029728.0
2024-04-22,5.96e-06,8.19e-06,5.92e-06,7.23e-06,438728116497414.0
2024-04-29,7.23e-06,8.98e-06,5.92e-06,8.53e-06,378902212206301.0
2024-05-06,8.52e-06,9.18e-06,7.61e-06,8.76e-06,250473366328117.0
2024-05-13,8.75e-06,1.161e-05,8.3e-06,9.16e-06,374486636927165.0
2024-05-20,9.15e-06,1.639e-05,8.95e-06,1.603e-05,448439806655371.0
2024-05-27,1.603e-05,1.725e-05,1.313e-05,1.463e-05,291200911077473.0
2024-06-03,1.463e-05,1.551e-05,1.116e-05,1.276e-05,198304293951214.0
2024-06-10,1.276e-05,1.313e-05,1.223e-05,1.252e-05,16883433216151.0
